Cod_setor,lider_masculino,lider_feminino,porcentagem_lideres_femininos
130020105000077,5,2,28.57142857142857
130020105000078,7,5,41.66666666666667
130020105000079,14,6,30
130020105000080,26,0,0
130020105000081,18,0,0
130020105000082,8,1,11.11111111111111
130020105000083,11,0,0
130020105000084,5,3,37.5
130020105000085,14,0,0
130020105000086,20,2,9.090909090909092
130020105000087,33,1,2.941176470588235
130020105000088,6,0,0
130020105000089,9,0,0
130020105000090,21,2,8.695652173913043
130020105000091,10,0,0
130020105000092,13,0,0
130020105000093,14,0,0
130020105000094,14,0,0
130020105000095,32,2,5.88235294117647
130020105000096,15,0,0
130020105000097,15,1,6.25
130030005000001,50,37,42.5287356321839
130030005000002,60,28,31.818181818181817
130030005000003,113,121,51.70940170940172
130030005000004,69,46,40
130030005000005,168,65,27.896995708154503
130030005000006,81,66,44.89795918367347
130030005000007,110,87,44.16243654822335
130030005000008,134,29,17.791411042944784
130030005000009,38,61,61.61616161616161
130030005000010,123,32,20.64516129032258
130030005000011,46,120,72.28915662650603
130030005000012,119,40,25.157232704402517
130030005000013,6,4,40
130030005000014,32,29,47.540983606557376
130030005000015,42,48,53.333333333333336
130030005000016,4,1,20
130030005000017,48,13,21.311475409836063
130030005000018,154,12,7.228915662650602
130030005000019,0,0,NaN
130030005000020,38,12,24
130030005000021,57,79,58.08823529411765
130030005000022,64,4,5.88235294117647
130030005000023,16,2,11.11111111111111
130030005000025,54,13,19.402985074626866
130030005000026,19,10,34.48275862068966
130030005000027,68,8,10.526315789473683
130030005000028,33,9,21.428571428571427
130030005000029,84,17,16.831683168316832
130030005000030,62,18,22.5
130030005000031,110,18,14.0625
130030005000032,43,6,12.244897959183673
130030005000033,36,5,12.195121951219512
130030005000034,47,57,54.807692307692314
130030005000035,21,15,41.66666666666667
130030005000036,169,26,13.333333333333334
130030005000037,150,27,15.254237288135593
130030005000038,115,75,39.473684210526315
130030005000039,44,5,10.204081632653061
130030005000040,14,5,26.31578947368421
130030005000041,118,19,13.86861313868613
130030005000042,0,0,NaN
130030005000043,18,5,21.73913043478261
130030005000044,98,12,10.909090909090908
130030005000045,9,2,18.181818181818183
130030005000046,33,48,59.25925925925925
130030005000047,11,11,50
130030005000048,16,11,40.74074074074074
130030005000049,19,18,48.64864864864865
130030005000050,15,15,50
130030005000051,17,12,41.37931034482759
130030005000052,21,11,34.375
130030005000053,10,6,37.5
130030005000054,104,112,51.85185185185185
130030005000055,143,103,41.86991869918699
130030005000056,54,121,69.14285714285714
130030005000057,4,1,20
130030005000058,31,35,53.03030303030303
130030005000059,12,15,55.55555555555556
130030005000060,47,61,56.481481481481474
130030005000061,26,40,60.60606060606061
130030005000062,3,2,40
130030005000063,11,4,26.666666666666668
130030005000065,13,0,0
130030005000066,18,7,28.000000000000004
130030005000068,17,13,43.333333333333336
130030005000069,15,2,11.76470588235294
130030005000071,4,15,78.94736842105263
130030005000072,35,9,20.454545454545457
130030005000073,25,8,24.242424242424242
130030005000074,12,1,7.6923076923076925
130030005000075,98,20,16.94915254237288
130030010000001,128,44,25.581395348837212
130030010000002,30,55,64.70588235294117
130030010000003,54,26,32.5
130030010000004,199,77,27.898550724637683
130030010000006,98,6,5.769230769230769
130030010000007,15,23,60.526315789473685
130030010000009,5,0,0
130030010000010,134,45,25.139664804469277
130030010000011,69,30,30.303030303030305
130030010000014,4,7,63.63636363636363
130030010000015,163,40,19.704433497536947
130040905000001,36,24,40
130040905000002,27,18,40
130040905000003,209,80,27.68166089965398
130040905000004,63,29,31.521739130434785
130040905000005,29,10,25.64102564102564
130040905000006,206,96,31.788079470198678
130040905000007,121,47,27.976190476190478
130040905000008,136,88,39.285714285714285
130040905000009,48,3,5.88235294117647
130040905000010,59,18,23.376623376623375
130040905000011,83,7,7.777777777777778
130040905000012,37,2,5.128205128205128
130040905000013,20,3,13.043478260869565
130040905000014,7,0,0
130040905000015,9,1,10
130040905000016,20,2,9.090909090909092
130040905000017,0,0,NaN
130040905000018,5,0,0
130040905000020,4,1,20
130040905000021,14,4,22.22222222222222
130040905000022,12,3,20
130040905000023,5,0,0
130040905000024,24,6,20
130040905000025,0,0,NaN
130040905000026,17,1,5.555555555555555
130040905000027,23,10,30.303030303030305
130040905000028,67,4,5.633802816901409
130040905000029,18,3,14.285714285714285
130040905000030,32,3,8.571428571428571
130040905000031,60,4,6.25
130040905000032,18,1,5.263157894736842
130040905000033,35,14,28.57142857142857
130040905000034,36,1,2.7027027027027026
130040905000035,31,2,6.0606060606060606
130040905000036,6,1,14.285714285714285
130040905000037,70,12,14.634146341463413
130040905000038,13,4,23.52941176470588
130040905000039,27,1,3.571428571428571
130040905000040,0,0,NaN
130040905000041,0,0,NaN
130040905000042,34,2,5.555555555555555
130040905000043,0,0,NaN
130040905000044,129,7,5.147058823529411
130040905000045,0,0,NaN
130040905000046,24,1,4
130040905000047,44,0,0
130040905000048,19,0,0
130040905000049,266,6,2.2058823529411766
130040905000052,74,9,10.843373493975903
130040905000053,20,0,0
130040905000055,78,1,1.2658227848101267
130040905000057,0,0,NaN
130040905000058,0,0,NaN
130040905000059,23,15,39.473684210526315
130040905000060,22,19,46.34146341463415
130040905000061,34,23,40.35087719298245
130040905000063,3,2,40
130040905000064,161,198,55.15320334261838
130040905000065,74,55,42.63565891472868
130040905000066,22,37,62.71186440677966
130040905000067,64,70,52.23880597014925
130040905000068,8,7,46.666666666666664
130040905000070,41,33,44.5945945945946
130040905000071,95,69,42.073170731707314
130040905000072,18,12,40
130040905000073,55,29,34.523809523809526
130040905000074,54,4,6.896551724137931
130040905000076,0,0,NaN
130040905000077,0,0,NaN
130040905000078,0,0,NaN
130040905000079,0,0,NaN
130040905000081,0,0,NaN
130040905000084,0,0,NaN
130040905000089,0,0,NaN
130040905000104,34,3,8.108108108108109
130040905000105,33,0,0
130040905000106,8,0,0
130040905000107,67,5,6.944444444444445
130040905000108,64,4,5.88235294117647
130040905000111,11,1,8.333333333333332
130040905000113,17,1,5.555555555555555
130040905000114,62,7,10.144927536231885
130050805000001,163,59,26.576576576576578
130050805000002,87,37,29.838709677419356
130050805000003,96,55,36.423841059602644
130050805000004,68,85,55.55555555555556
130050805000005,75,72,48.97959183673469
130050805000006,93,77,45.294117647058826
130050805000007,159,37,18.877551020408163
130050805000008,89,217,70.91503267973856
130050805000009,33,59,64.13043478260869
130050805000010,14,5,26.31578947368421
130050805000011,73,115,61.170212765957444
130050805000012,56,47,45.63106796116505
130050805000013,68,24,26.08695652173913
130050805000014,10,9,47.368421052631575
130050805000015,13,8,38.095238095238095
130050810000001,87,15,14.705882352941178
130050810000002,31,31,50
130050810000003,24,0,0
130050810000004,0,0,NaN
130050810000006,42,3,6.666666666666667
130050810000007,27,4,12.903225806451612
130050810000008,21,1,4.545454545454546
130050810000009,38,4,9.523809523809524
130050810000010,57,8,12.307692307692308
130050810000011,88,6,6.382978723404255
130050810000012,11,1,8.333333333333332
130050810000013,17,0,0
130050810000014,4,1,20
130050810000015,21,22,51.162790697674424
130050810000016,39,13,25
130050810000017,15,27,64.28571428571429
130050810000018,9,15,62.5
130050810000019,5,25,83.33333333333334
130050810000020,62,7,10.144927536231885
130050810000021,7,0,0
130050810000022,0,0,NaN
130050810000023,9,1,10
130050810000024,19,64,77.10843373493977
130050810000025,47,23,32.857142857142854
130050810000026,49,27,35.526315789473685
130050810000027,43,2,4.444444444444445
130050810000028,11,0,0
130050812000001,118,77,39.48717948717949
130050812000002,82,89,52.046783625730995
130050812000003,34,33,49.25373134328358
130050812000004,48,59,55.140186915887845
130050815000001,112,40,26.31578947368421
130050815000002,112,17,13.178294573643413
130050815000003,75,32,29.906542056074763
130050815000004,104,47,31.125827814569533
130050815000005,74,29,28.155339805825243
130050815000006,67,31,31.63265306122449
130050815000007,5,2,28.57142857142857
130050815000008,27,7,20.588235294117645
130050820000001,109,67,38.06818181818182
130050820000002,70,21,23.076923076923077
130050820000003,67,77,53.47222222222222
130050820000004,101,15,12.931034482758621
130050820000005,63,140,68.96551724137932
130060705000001,168,124,42.465753424657535
130060705000002,95,55,36.666666666666664
130060705000003,97,50,34.01360544217687
130060705000004,146,72,33.02752293577982
130060705000005,110,75,40.54054054054054
130060705000006,79,61,43.57142857142857
130060705000007,92,59,39.0728476821192
130060705000008,59,48,44.85981308411215
130060705000009,110,99,47.368421052631575
130060705000010,72,43,37.391304347826086
130060705000011,27,25,48.07692307692308
130060705000012,80,60,42.857142857142854
130060705000013,22,2,8.333333333333332
130060705000014,46,2,4.166666666666666
130060705000015,56,9,13.846153846153847
130060705000016,39,6,13.333333333333334
130060705000017,27,1,3.571428571428571
130060705000018,78,35,30.973451327433626
130060705000020,22,1,4.3478260869565215
130060705000021,29,3,9.375
130060705000022,72,7,8.860759493670885
130060705000023,56,6,9.67741935483871
130060705000024,34,7,17.073170731707318
130060705000025,87,7,7.446808510638298
130060705000026,43,3,6.521739130434782
130060705000027,137,28,16.969696969696972
130060705000028,141,16,10.191082802547772
130060705000029,25,0,0
130060705000030,19,10,34.48275862068966
130060705000031,44,1,2.2222222222222223
130060705000032,10,0,0
130060705000033,5,0,0
130060705000034,49,3,5.769230769230769
130060705000035,68,40,37.03703703703704
130060705000036,143,75,34.403669724770644
130060705000037,53,36,40.44943820224719
130060705000038,68,140,67.3076923076923
130060705000039,75,50,40
130060705000040,81,34,29.565217391304348
130060705000041,188,136,41.9753086419753
130060705000042,24,21,46.666666666666664
130060705000043,107,48,30.967741935483872
130060705000044,53,62,53.91304347826087
130060705000045,4,5,55.55555555555556
130060705000046,41,30,42.25352112676056
130060705000047,98,57,36.774193548387096
130060705000048,73,39,34.82142857142857
130060705000049,14,9,39.130434782608695
130060705000050,25,6,19.35483870967742
130060705000051,41,10,19.607843137254903
130060705000052,33,2,5.714285714285714
130060705000053,14,2,12.5
130060705000054,16,0,0
130060705000055,11,2,15.384615384615385
130060705000056,5,0,0
130060705000057,49,1,2
130060705000058,14,5,26.31578947368421
130060705000059,5,2,28.57142857142857
130060705000060,37,2,5.128205128205128
130060705000061,5,0,0
130060705000063,48,14,22.58064516129032
130060705000064,36,9,20
130060705000065,17,0,0
130060705000066,18,3,14.285714285714285
130060705000067,22,9,29.03225806451613
130060705000068,26,8,23.52941176470588
130060705000070,17,16,48.484848484848484
130060705000071,11,0,0
130060705000073,28,2,6.666666666666667
130060705000074,37,2,5.128205128205128
130060705000075,56,18,24.324324324324326
130060705000076,58,40,40.816326530612244
130060705000078,57,18,24
130060705000079,14,2,12.5
130060705000082,85,26,23.423423423423422
130063105000001,138,49,26.203208556149733
130063105000002,147,66,30.985915492957744
130063105000003,70,43,38.05309734513274
130063105000004,128,12,8.571428571428571
130063105000006,3,4,57.14285714285714
130063105000007,21,4,16
130063105000008,75,74,49.664429530201346
130063105000010,44,3,6.382978723404255
130063105000011,20,3,13.043478260869565
130063105000013,9,13,59.09090909090909
130063105000014,13,0,0
130063105000015,27,8,22.857142857142858
130063105000017,23,1,4.166666666666666
130063105000019,46,4,8
130063105000021,6,2,25
130063105000022,60,5,7.6923076923076925
130063105000023,126,6,4.545454545454546
130063105000025,39,45,53.57142857142857
130063105000027,100,32,24.242424242424242
130063105000029,82,6,6.8181818181818175
130063105000030,148,105,41.50197628458498
130063105000031,54,52,49.056603773584904
130063105000032,148,160,51.94805194805194
130063105000033,85,114,57.286432160804026
130063105000034,79,35,30.701754385964914
130063105000035,108,99,47.82608695652174
130063105000036,62,10,13.88888888888889
130063105000038,0,0,NaN
130063105000039,5,0,0
130063105000044,8,1,11.11111111111111
130063105000046,0,0,NaN
130063105000048,12,3,20
130063105000049,9,4,30.76923076923077
130063105000052,21,1,4.545454545454546
130068005000001,46,71,60.68376068376068
130068005000002,110,146,57.03125
130068005000003,169,98,36.70411985018727
130068005000004,114,55,32.544378698224854
130068005000005,24,31,56.36363636363636
130068005000006,94,60,38.961038961038966
130068005000007,82,144,63.716814159292035
130068005000008,21,24,53.333333333333336
130068005000009,213,69,24.46808510638298
130068005000010,112,182,61.904761904761905
130068005000011,19,2,9.523809523809524
130068010000001,5,8,61.53846153846154
130068010000002,85,184,68.40148698884758
130068010000003,27,25,48.07692307692308
130068010000004,43,17,28.333333333333332
130068010000005,104,97,48.258706467661696
130068015000001,56,16,22.22222222222222
130068015000002,63,44,41.1214953271028
130068015000003,54,24,30.76923076923077
130070605000001,102,74,42.04545454545455
130070605000002,101,77,43.258426966292134
130070605000003,122,112,47.863247863247864
130070605000004,87,49,36.029411764705884
130070605000005,97,61,38.607594936708864
130070605000006,58,169,74.44933920704845
130070605000007,81,70,46.35761589403973
130070605000008,89,45,33.582089552238806
130070605000009,131,100,43.290043290043286
130070605000010,124,88,41.509433962264154
130070605000011,141,84,37.333333333333336
130070605000012,119,49,29.166666666666668
130070605000013,0,0,NaN
130070605000014,155,102,39.688715953307394
130070605000015,102,47,31.543624161073826
130070605000016,76,21,21.649484536082475
130070605000017,0,0,NaN
130070605000018,110,10,8.333333333333332
130070605000019,25,2,7.4074074074074066
130070605000020,94,20,17.543859649122805
130070605000021,34,5,12.82051282051282
130070605000022,54,3,5.263157894736842
130070605000023,14,1,6.666666666666667
130070605000024,6,6,50
130070605000025,47,6,11.320754716981133
130070605000026,35,42,54.54545454545454
130070605000027,38,35,47.94520547945205
130070605000030,25,18,41.86046511627907
130070605000031,16,3,15.789473684210526
130070605000032,47,8,14.545454545454545
130070605000033,86,44,33.84615384615385
130070605000034,71,33,31.73076923076923
130070605000035,63,68,51.908396946564885
130070605000036,5,0,0
130070605000037,22,8,26.666666666666668
130070605000040,0,0,NaN
130070605000043,8,1,11.11111111111111
130070605000044,12,0,0
130070605000045,0,0,NaN
130070605000046,0,0,NaN
130070605000047,9,0,0
130070605000049,0,0,NaN
130070605000053,0,0,NaN
130070605000054,81,110,57.59162303664922
130070605000055,241,87,26.52439024390244
130070605000056,209,125,37.4251497005988
130070605000057,86,60,41.0958904109589
130070605000058,19,8,29.629629629629626
130070605000059,8,11,57.89473684210527
130070605000060,51,112,68.71165644171779
130070605000061,67,119,63.97849462365591
130070605000062,139,65,31.862745098039213
130070605000063,0,0,NaN
130070605000064,67,13,16.25
130070605000065,52,14,21.21212121212121
130070605000068,0,0,NaN
130070605000069,0,0,NaN
130070605000071,31,10,24.390243902439025
130070605000072,57,2,3.389830508474576
130070605000073,5,1,16.666666666666664
130070605000075,32,10,23.809523809523807
130070605000076,161,66,29.074889867841406
130070610000001,27,2,6.896551724137931
130070610000002,66,45,40.54054054054054
130070610000003,0,0,NaN
130070610000004,38,22,36.666666666666664
130070610000007,25,4,13.793103448275861
130070610000008,18,2,10
130070610000009,71,1,1.3888888888888888
130070610000010,15,2,11.76470588235294
130070610000011,78,5,6.024096385542169
130070610000012,154,16,9.411764705882353
130070610000013,0,0,NaN
130070610000014,82,15,15.463917525773196
130070610000015,147,35,19.230769230769234
130070610000016,62,14,18.421052631578945
130070610000017,14,0,0
130070610000018,7,5,41.66666666666667
130080505000001,126,74,37
130080505000002,118,100,45.87155963302752
130080505000003,146,123,45.72490706319702
130080505000004,108,123,53.246753246753244
130080505000005,145,85,36.95652173913043
130080505000006,87,100,53.475935828877006
130080505000007,67,89,57.05128205128205
130080505000008,139,99,41.596638655462186
130080505000009,108,108,50
130080505000010,108,149,57.97665369649806
130080505000011,165,8,4.624277456647398
130080505000012,119,54,31.213872832369944
130080505000013,137,18,11.612903225806452
130080505000014,224,12,5.084745762711865
130080505000015,32,6,15.789473684210526
130080505000016,55,16,22.535211267605636
130080505000017,99,18,15.384615384615385
130080505000018,126,41,24.550898203592812
130080505000019,158,19,10.734463276836157
130080505000020,36,1,2.7027027027027026
130080505000021,59,36,37.89473684210527
130080505000022,19,1,5
130080505000023,92,7,7.07070707070707
130080505000024,101,10,9.00900900900901
130080505000025,101,70,40.93567251461988
130080505000026,53,12,18.461538461538463
130080505000027,20,2,9.090909090909092
130080505000028,111,12,9.75609756097561
130080505000029,15,3,16.666666666666664
130080505000035,21,3,12.5
130080505000036,0,0,NaN
130080505000037,16,9,36
130080505000038,34,4,10.526315789473683
130080505000039,25,3,10.714285714285714
130080505000040,31,12,27.906976744186046
130080505000043,15,3,16.666666666666664
130080505000044,40,4,9.090909090909092
130080505000045,6,0,0
130080505000046,14,1,6.666666666666667
130080505000047,45,14,23.728813559322035
130080505000049,35,0,0
130080505000050,44,6,12
130080505000052,88,101,53.43915343915344
130080505000053,99,64,39.263803680981596
130080505000054,134,119,47.03557312252965
130080505000055,63,89,58.55263157894737
130080505000056,104,61,36.96969696969697
130080505000057,99,25,20.161290322580644
130080505000058,11,7,38.88888888888889
130080505000059,114,32,21.91780821917808
130080505000060,88,10,10.204081632653061
130080505000061,32,38,54.285714285714285
130080505000062,22,40,64.51612903225806
130080505000063,10,1,9.090909090909092
130080505000064,6,2,25
130080505000065,13,1,7.142857142857142
130080505000066,23,6,20.689655172413794
130080505000067,49,6,10.909090909090908
130080505000068,17,2,10.526315789473683
130080505000069,12,0,0
130080505000070,36,1,2.7027027027027026
130080505000071,10,1,9.090909090909092
130080505000072,53,6,10.16949152542373
130080505000073,94,16,14.545454545454545
130080505000074,24,4,14.285714285714285
130080505000075,21,3,12.5
130080505000076,16,1,5.88235294117647
130080505000077,18,1,5.263157894736842
130080505000078,29,5,14.705882352941178
130080505000079,15,2,11.76470588235294
130080505000080,6,1,14.285714285714285
130080505000081,10,1,9.090909090909092
130080505000082,23,1,4.166666666666666
130080505000083,5,1,16.666666666666664
130080505000084,0,0,NaN
130083905000001,116,26,18.30985915492958
130083905000002,243,60,19.801980198019802
130083905000003,201,44,17.959183673469386
130083905000004,55,10,15.384615384615385
130083905000005,100,25,20
130083905000006,7,3,30
130083905000007,20,4,16.666666666666664
130083905000008,37,3,7.5
130083905000009,9,1,10
130083905000011,33,1,2.941176470588235
130083905000012,50,12,19.35483870967742
130083905000013,91,35,27.77777777777778
130083905000014,100,101,50.24875621890548
130083905000015,142,45,24.06417112299465
130083905000016,150,97,39.27125506072874
130083905000017,179,31,14.761904761904763
130083905000018,129,63,32.8125
130090405000001,128,135,51.33079847908745
130090405000002,246,111,31.092436974789916
130090405000003,243,64,20.846905537459286
130090405000004,106,48,31.16883116883117
130090405000005,243,77,24.0625
130090405000006,70,6,7.894736842105263
130090405000007,21,3,12.5
130090405000008,101,8,7.339449541284404
130090405000010,45,12,21.052631578947366
130090405000011,0,0,NaN
130090405000012,7,0,0
130090405000013,96,0,0
130090405000014,7,0,0
130090405000016,0,0,NaN
130090405000017,61,7,10.294117647058822
130090405000018,10,9,47.368421052631575
130090405000019,31,6,16.216216216216218
130090405000020,122,19,13.47517730496454
130090405000021,38,22,36.666666666666664
130090405000022,168,48,22.22222222222222
130090405000023,53,14,20.8955223880597
130090405000025,10,1,9.090909090909092
130090405000026,14,2,12.5
130090405000027,0,0,NaN
130090405000030,0,0,NaN
130090405000031,18,3,14.285714285714285
130090405000032,28,1,3.4482758620689653
130090405000037,26,6,18.75
130090405000039,222,87,28.155339805825243
130090405000040,125,20,13.793103448275861
130100105000001,116,68,36.95652173913043
130100105000002,77,40,34.18803418803419
130100105000003,93,47,33.57142857142857
130100105000004,120,52,30.23255813953488
130100105000005,110,106,49.074074074074076
130100105000006,174,52,23.008849557522122
130100105000007,213,85,28.523489932885905
130100105000008,67,212,75.98566308243727
130100105000009,160,48,23.076923076923077
130100105000010,114,106,48.18181818181818
130100105000011,190,93,32.86219081272085
130100105000012,269,86,24.225352112676056
130100105000013,150,63,29.577464788732392
130100105000014,209,71,25.357142857142854
130100105000015,64,7,9.859154929577464
130100105000016,69,10,12.658227848101266
130100105000017,46,2,4.166666666666666
130100105000018,40,9,18.367346938775512
130100105000019,18,1,5.263157894736842
130100105000020,40,1,2.4390243902439024
130100105000021,13,1,7.142857142857142
130100105000024,27,1,3.571428571428571
130100105000027,77,12,13.48314606741573
130100105000028,0,0,NaN
130100105000029,16,1,5.88235294117647
130100105000030,22,2,8.333333333333332
130100105000031,59,5,7.8125
130100105000032,0,0,NaN
130100105000033,0,0,NaN
130100105000035,14,1,6.666666666666667
130100105000037,78,8,9.30232558139535
130100105000039,60,5,7.6923076923076925
130100105000040,17,1,5.555555555555555
130100105000041,9,1,10
130100105000043,6,1,14.285714285714285
130100105000044,5,0,0
130100105000048,26,0,0
130100105000054,9,3,25
130100105000055,21,1,4.545454545454546
130100105000056,66,47,41.5929203539823
130100105000057,37,62,62.62626262626263
130100105000058,142,99,41.078838174273855
130100105000059,116,146,55.72519083969466
130100105000060,69,11,13.750000000000002
130100105000061,72,27,27.27272727272727
130100105000063,35,5,12.5
130100105000065,20,3,13.043478260869565
130100105000067,19,2,9.523809523809524
130100105000070,0,0,NaN
130100105000072,18,0,0
130100105000074,82,157,65.69037656903765
130110005000001,93,64,40.76433121019109
130110005000002,198,80,28.776978417266186
130110005000003,104,122,53.98230088495575
130110005000004,0,0,NaN
130110005000005,163,103,38.721804511278194
130110005000006,23,1,4.166666666666666
130110005000007,41,5,10.869565217391305
130110005000008,112,20,15.151515151515152
130110005000009,103,160,60.836501901140686
130110005000010,90,24,21.052631578947366
130110005000011,46,5,9.803921568627452
130110005000012,55,135,71.05263157894737
130110005000013,88,13,12.871287128712872
130110005000014,128,35,21.472392638036812
130110005000015,127,10,7.2992700729927
130110005000016,178,45,20.179372197309416
130110005000017,115,42,26.751592356687897
130110005000018,76,18,19.148936170212767
130110005000019,184,37,16.7420814479638
130110005000020,73,5,6.41025641025641
130110005000021,78,28,26.41509433962264
130110005000022,72,13,15.294117647058824
130110005000023,53,5,8.620689655172415
130110005000024,118,31,20.80536912751678
130110005000025,94,42,30.88235294117647
